"","X.1","X","gpp","ca","gammastar","kmm","ns_star","chi","xi","mj","mc","ci","iwue","gs","vcmax","vcmax25","jmax","jmax25","rd","gppobs","gppobs_FLUX_X","site","Precipitation","Tg","Tmean","BPE","gpp_gosif","gpp_PML_15"
"438",438,438,NA,37.8087759831276,2.04016613064091,21.7812703087899,1.41029943479701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.414353697547,1.44419258239901,14,365.25,11.3922355742831,7.57356123790365,0.279485905574289,1.40835641618341,1.19626679213667
"439",439,439,NA,37.8087759831276,2.04016613064091,21.7812703087899,1.41029943479701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.414353697547,1.44419258239901,14,365.25,11.3922355742831,7.57356123790365,0.279485905574289,1.40835641618341,1.19626679213667
"440",440,440,NA,37.8087759831276,2.04016613064091,21.7812703087899,1.41029943479701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.414353697547,1.44419258239901,14,365.25,11.3922355742831,7.57356123790365,0.279485905574289,1.40835641618341,1.19626679213667
"441",441,441,NA,37.8087759831276,2.04016613064091,21.7812703087899,1.41029943479701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.414353697547,1.44419258239901,14,365.25,11.3922355742831,7.57356123790365,0.279485905574289,1.40835641618341,1.19626679213667
"442",442,442,NA,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"443",443,443,2.37731665037874,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,0.692753555491608,55.5700168228265,0.807114640559428,0.521935026451075,25.4591042833623,7.05718073316171,0.0175294177205063,0.379229636583271,1.40080215168591,1.2294020556891,3.1400578028654,0.00622648314769587,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"444",444,444,2.32658586866834,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,0.650357214948617,45.60525100594,0.796248565424405,0.504859190719498,23.9010136080269,8.03098740524638,0.0150751568350696,0.383690017018862,1.41727794869325,1.21408855097182,3.10094505715769,0.00629971709603583,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"445",445,445,2.28110918736028,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,0.616062188646299,39.1547143702496,0.786520361492776,0.490127262207646,22.6406510388131,8.81871401100496,0.0134602309900009,0.387497490633673,1.43134203208127,1.20015262651293,3.06535083626407,0.00636223111923167,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"446",446,446,NA,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"447",447,447,NA,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"448",448,448,2.25034429648661,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,0.594603864353577,35.6737027215827,0.779946431565465,0.480455212118684,21.8520448864752,9.31159285621614,0.0125758308855806,0.389966894999497,1.44046354215152,1.19060994303961,3.04097754230216,0.00640277569482756,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"449",449,449,NA,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"450",450,450,NA,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"451",451,451,2.27934000383535,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,0.614791902146271,38.9378463318987,0.78614215609986,0.489564736865238,22.5939672560774,8.84789137521478,0.0134054386188884,0.387641856712187,1.43187529291826,1.1996064035343,3.06395570948822,0.00636460143227753,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
"452",452,452,NA,36.7505934564211,1.8784459787818,19.7201941149814,1.44924728945598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.605075959924,1.26623149137017,15,382.19,10.4310232678458,6.4816769011474,0.289599942844854,1.26162505467441,1.23973620279933
