"","Site_ID","MAP_mm","vcmax_Constant","vcmax_Alienor","vcmax_Own","Obs_vcmax","vcmax25_Constant","vcmax25_Alienor","vcmax25_Own"
"400",12,419.86,28.8839051571942,28.7428955408995,29.2903988488683,37.6690701427634,114.802312273176,114.241853778548,116.417966924951
"401",12,419.86,28.8839051571942,28.7444730958522,NA,37.6690701427634,114.802312273176,114.248123947188,NA
"402",12,419.86,28.8839051571942,28.7475813389485,28.0347962132172,37.6690701427634,114.802312273176,114.260478007091,111.427433786009
"403",12,419.86,28.8839051571942,28.7525533081759,NA,37.6690701427634,114.802312273176,114.280239654997,NA
"404",12,419.86,28.8839051571942,28.7487030091868,NA,37.6690701427634,114.802312273176,114.264936210934,NA
"405",12,419.86,28.8839051571942,28.7578744787484,NA,37.6690701427634,114.802312273176,114.301389242714,NA
"406",12,419.86,28.8839051571942,28.7533040324953,27.7141088485405,37.6690701427634,114.802312273176,114.283223492787,110.15282597999
"407",12,419.86,28.8839051571942,28.7488998401996,NA,37.6690701427634,114.802312273176,114.265718537814,NA
"408",12,419.86,28.8839051571942,28.7517794210768,28.0753505152079,37.6690701427634,114.802312273176,114.277163754147,111.588621396057
"409",12,419.86,28.8839051571942,28.7609235082701,NA,37.6690701427634,114.802312273176,114.313507951641,NA
"410",12,419.86,28.8839051571942,28.7552262964998,NA,37.6690701427634,114.802312273176,114.290863746116,NA
"411",12,419.86,28.8839051571942,28.753198656854,27.9452375985787,37.6690701427634,114.802312273176,114.282804665513,111.071473053258
"412",12,419.86,28.8839051571942,28.7469982590586,NA,37.6690701427634,114.802312273176,114.25816049084,NA
"413",12,419.86,28.8839051571942,28.7559099866954,27.9630230227448,37.6690701427634,114.802312273176,114.293581149282,111.142163211251
"414",12,419.86,28.8839051571942,28.7528642187553,NA,37.6690701427634,114.802312273176,114.281475403876,NA
"415",13,368.46,30.2668697485519,30.2131989427567,NA,32.3584614279023,105.144776770836,104.95832852094,NA
"416",13,368.46,30.2668697485519,30.20915304977,NA,32.3584614279023,105.144776770836,104.944273399995,NA
"417",13,368.46,30.2668697485519,30.2113146085748,30.9290080029288,32.3584614279023,105.144776770836,104.951782488973,107.444994121565
"418",13,368.46,30.2668697485519,30.2126700045301,NA,32.3584614279023,105.144776770836,104.956491030237,NA
"419",13,368.46,30.2668697485519,30.2075324383123,NA,32.3584614279023,105.144776770836,104.938643520481,NA
"420",13,368.46,30.2668697485519,30.2093430160723,32.4577831062154,32.3584614279023,105.144776770836,104.944933328313,112.755841206291
"421",13,368.46,30.2668697485519,30.2069364351209,NA,32.3584614279023,105.144776770836,104.936573051251,NA
"422",13,368.46,30.2668697485519,30.2089763837111,NA,32.3584614279023,105.144776770836,104.943659675699,NA
"423",13,368.46,30.2668697485519,30.2118200023418,31.8141835935543,32.3584614279023,105.144776770836,104.953538188034,110.52002601791
"424",13,368.46,30.2668697485519,30.2025520940054,NA,32.3584614279023,105.144776770836,104.921342187547,NA
"425",13,368.46,30.2668697485519,30.2115167495107,NA,32.3584614279023,105.144776770836,104.952484711031,NA
"426",13,368.46,30.2668697485519,30.2143605126239,31.2330529459379,32.3584614279023,105.144776770836,104.962363725287,108.501222860334
"427",13,368.46,30.2668697485519,30.2101338892157,NA,32.3584614279023,105.144776770836,104.947680760764,NA
"428",13,368.46,30.2668697485519,30.210425010608,NA,32.3584614279023,105.144776770836,104.948692094081,NA
"429",13,368.46,30.2668697485519,30.212066939776,NA,32.3584614279023,105.144776770836,104.954396029681,NA
"430",13,368.46,30.2668697485519,30.207541454485,NA,32.3584614279023,105.144776770836,104.938674841971,NA
"431",13,368.46,30.2668697485519,30.2068222602212,32.2561322425823,32.3584614279023,105.144776770836,104.936176416434,112.055321621065
"432",13,368.46,30.2668697485519,30.2081769602653,NA,32.3584614279023,105.144776770836,104.940882540156,NA
"433",13,368.46,30.2668697485519,30.2151527399435,31.0644833577553,32.3584614279023,105.144776770836,104.965115862041,107.915625080747
"434",13,368.46,30.2668697485519,30.2105335781419,30.21334661254,32.3584614279023,105.144776770836,104.949069249341,104.958841514405
"435",14,365.25,30.1175521388651,30.0451108864582,NA,38.8265776340007,106.211814631146,105.956345101723,NA
"436",14,365.25,30.1175521388651,30.0429668159745,NA,38.8265776340007,106.211814631146,105.948783875774,NA
"437",14,365.25,30.1175521388651,30.049836186687,28.8218469229805,38.8265776340007,106.211814631146,105.973009228664,101.642412656789
"438",14,365.25,30.1175521388651,30.0505290340088,NA,38.8265776340007,106.211814631146,105.975452606896,NA
"439",14,365.25,30.1175521388651,30.0450691703097,NA,38.8265776340007,106.211814631146,105.956197986585,NA
"440",14,365.25,30.1175521388651,30.0496311190744,NA,38.8265776340007,106.211814631146,105.972286042292,NA
"441",14,365.25,30.1175521388651,30.044845396121,NA,38.8265776340007,106.211814631146,105.955408830065,NA
"442",15,382.19,29.3532716332573,29.223658724999,NA,36.1510592232799,113.673548048691,113.171608798487,NA
"443",15,382.19,29.3532716332573,29.2143432510813,28.066841369037,36.1510592232799,113.673548048691,113.135533672511,108.691715213217
"444",15,382.19,29.3532716332573,29.2173214594678,28.6311533437274,36.1510592232799,113.673548048691,113.147067089241,110.877071079878
"445",15,382.19,29.3532716332573,29.2186782386263,29.1364632836049,36.1510592232799,113.673548048691,113.152321355368,112.833935529191
"446",15,382.19,29.3532716332573,29.2154842747111,NA,36.1510592232799,113.673548048691,113.139952403276,NA
"447",15,382.19,29.3532716332573,29.2201819968714,NA,36.1510592232799,113.673548048691,113.158144813048,NA
"448",15,382.19,29.3532716332573,29.2170616689089,29.4779804034343,36.1510592232799,113.673548048691,113.146061023717,114.156495522347
"449",15,382.19,29.3532716332573,29.2197326710078,NA,36.1510592232799,113.673548048691,113.156404752663,NA
"450",15,382.19,29.3532716332573,29.2130020121344,NA,36.1510592232799,113.673548048691,113.130339587444,NA
"451",15,382.19,29.3532716332573,29.2127098127196,29.1561100677034,36.1510592232799,113.673548048691,113.12920801531,112.91001971102
"452",15,382.19,29.3532716332573,29.2123758956373,NA,36.1510592232799,113.673548048691,113.12791488724,NA
